Date,Transection Description, Amount ,Category
1/2/23,TPTEA EXPRESS,$4.90 ,Food
1/2/23,JASONS MARKET PLACE,$8.35 ,Groceries
1/2/23,BUS/MRT,$7.92 ,Transport
3/2/23,FAIRPRICE XTRA,$25.69 ,Groceries
5/2/23,TRT,$35.40 ,Shopping
5/2/23,TRT,$49.90 ,Shopping
5/2/23,TADA RIDE ,$16.46 ,Transport
5/2/23,HAI DI LAO ,$239.30 ,Food
6/2/23,PHONE BILL,$30.28 ,Phone Bill
6/2/23,SPOTIFY,$13.11 ,Entertainment
7/2/23,TADA RIDE ,$23.00 ,Transport
8/2/23,M-RAMEN,$39.92 ,Food
8/2/23,BUS/MRT,$10.94 ,Transport
9/2/23,HAI DI LAO ,$185.90 ,Food
14/2/23,SEPHORA,$27.00 ,Shopping
14/2/23,ZARA,$0.90 ,Shopping
14/2/23,BUS/MRT,$16.34 ,Transport
17/2/23,SUKIYA,$8.80 ,Food
18/2/23,DON DON DONKI,$13.90 ,Groceries
18/2/23,JASONS MARKET PLACE,$2.05 ,Groceries
18/2/23,FAIRPRICE XTRA,$5.50 ,Groceries
18/2/23,FAIRPRICE XTRA,$0.65 ,Groceries
19/2/23,MCDONALD,$31.80 ,Food
19/2/23,MAKI-SAN,$9.70 ,Food
19/2/23,FAIRPRICE XTRA,$9.49 ,Groceries
19/2/23,TONGUE TIP LZ BEEF NOO,$13.00 ,Food
19/2/23,BUS/MRT,$6.59 ,Transport
23/2/23,COLD STORAGE,$6.35 ,Groceries
23/2/23,H&M,$18.95 ,Shopping
24/2/23,BUS/MRT,$17.46 ,Transport
25/2/23,AFTERWIT,$59.40 ,Food
25/2/23,GOJEK,$25.00 ,Transport
25/2/23,NANA'S GREEN TEA,$15.65 ,Food
26/2/23,BIRO,$47.28 ,Food
27/2/23,DON DON DONKI,$9.90 ,Groceries
2/3/23,WATSONS,$13.76 ,Shopping
2/3/23,TADA RIDE ,$13.71 ,Transport
3/3/23,FOOD PANDA,$20.59 ,Food
3/3/23,Lazada,$164.88 ,Shopping
4/3/23, U STARS SUPERMARKET,$2.20 ,Groceries
4/3/23,BUS/MRT,$13.49 ,Transport
5/3/23,CS TAY FOODS,$15.55 ,Groceries
6/3/23,PHONE BILL,$30.28 ,Phone Bill
6/3/23,SPOTIFY,$13.11 ,Entertainment
7/3/23,ASTONS STEAK SALAD,$49.00 ,Food
8/3/23,GUARDIAN,$12.60 ,Shopping
10/3/23,TADA RIDE ,$23.92 ,Transport
10/3/23,KOPITIAM,$14.60 ,Food
10/3/23,BUS/MRT,$3.01 ,Transport
11/3/23,7-ELEVEN,$6.21 ,Food
11/3/23, BURGER KING,$8.65 ,Food
18/3/23,BUS/MRT,$9.44 ,Transport
20/3/23,KOPITIAM,$26.10 ,Food
20/3/23,FAIRPRICE XTRA,$5.50 ,Groceries
22/3/23,COLD STORAGE,$13.86 ,Groceries
22/3/23,COLD STORAGE,$0.80 ,Groceries
25/3/23,BUS/MRT,$5.03 ,Transport
26/3/23,WATSONS,$1.60 ,Shopping
27/3/23,FOOD PANDA,$19.49 ,Food
27/3/23,LAZADA,$34.20 ,Shopping
30/3/23,IPPUDO,$95.40 ,Food
30/3/23,BUS/MRT,$13.13 ,Transport
1/4/23,ISETAN (SUPERMARKET),$29.00 ,Groceries
1/4/23,MATCHAYA ,$6.70 ,Food
1/4/23,LAZADA,$11.29 ,Shopping
1/4/23,SEPHORA,$134.40 ,Shopping
4/4/23,PHONE BILL,$30.28 ,Phone Bill
4/4/23,GOJEK,$7.20 ,Transport
6/4/23,SPOTIFY,$13.11 ,Entertainment
6/4/23,UNIQLO,$49.90 ,Shopping
6/4/23,FAIRPRICE XTRA,$1.70 ,Groceries
6/4/23,BUS/MRT,$14.17 ,Transport
7/4/23,FOOD PANDA,$19.15 ,Food
8/4/23,FAIRPRICE XTRA,$0.65 ,Groceries
8/4/23,FAIRPRICE XTRA,$0.51 ,Groceries
8/4/23,DON DON DONKI,$7.00 ,Groceries
8/4/23,FAIRPRICE FINEST,$6.05 ,Groceries
9/4/23,KSISTERS,$68.85 ,Shopping
9/4/23,DAISO,$17.28 ,Shopping
10/4/23,DON DON DONKI,$10.90 ,Groceries
11/4/23,BUS/MRT,$13.98 ,Transport
13/4/23,BIRO,$70.33 ,Food
13/4/23,FAIRPRICE XTRA,$0.60 ,Groceries
14/4/23,FAIRPRICE XTRA,$0.07 ,Groceries
14/4/23,7-ELEVEN,$2.30 ,Food
16/4/23,BUS/MRT,$6.80 ,Transport
17/4/23,THE COFFEE BEAN,$10.00 ,Food
18/4/23,ACTUALLY,$127.65 ,Shopping
21/4/23,FAIRPRICE XTRA,$3.30 ,Groceries
21/4/23,BUS/MRT,$15.10 ,Transport
22/4/23,GUARDIAN,$21.50 ,Shopping
22/4/23,DAISO,$2.16 ,Shopping
22/4/23,7-ELEVEN,$2.30 ,Food
23/4/23,WOK HEY,$7.90 ,Food
25/4/23,TAOBAO.COM,$70.41 ,Shopping
27/4/23,BUS/MRT,$16.04 ,Transport
28/4/23,EAT,$10.60 ,Food
28/4/23,CHALLENGER,$78.00 ,Shopping
28/4/23,PEPPER LUNCH,$25.00 ,Food
29/4/23,PICOLINO ,$44.94 ,Food
30/4/23,GUZMAN Y GOMEZ,$29.00 ,Food
30/4/23,GIANT,$0.35 ,Groceries
30/4/23,COLD STORAGE,$9.75 ,Groceries
1/5/23,SUKIYA,$40.60 ,Food
3/5/23,BUS/MRT,$17.64 ,Transport
3/5/23,ECCELLENTE,$12.80 ,Groceries
4/5/23,PHONE BILL,$30.28 ,Phone Bill
4/5/23,CO CHUNG BOAT QUAY,$45.50 ,Food
5/5/23,VENUS BEAUTY,$3.90 ,Shopping
6/5/23,SPOTIFY,$13.11 ,Entertainment
10/5/23,BUS/MRT,$18.68 ,Transport
10/5/23,Old Chang Kee,$3.50 ,Food
10/5/23,FAIRPRICE XTRA,$10.58 ,Groceries
11/5/23,YA KUN,$9.40 ,Food
12/5/23,DAISO,$2.16 ,Shopping
12/5/23,WATSONS,$7.33 ,Shopping
12/5/23,SANOOK-CHICKENRICE,$19.22 ,Food
12/5/23,FARM FROZEN,$16.90 ,Groceries
12/5/23,OMOTE,$68.19 ,Food
12/5/23,STARBUCKS,$20.00 ,Food
13/5/23,TORI Q,$7.60 ,Food
13/5/23,COLD STORAGE,$0.40 ,Groceries
13/5/23,SKAI-SWISSOTE,$68.91 ,Food
15/5/23,BUS/MRT,$10.27 ,Transport
15/5/23,GUARDIAN,$9.05 ,Shopping
16/5/23,FAIRPRICE XTRA,$7.13 ,Groceries
16/5/23,FAIRPRICE FINEST,$21.78 ,Groceries
19/5/23,Proofer Boula,$4.70 ,Food
19/5/23,Subway,$9.50 ,Food
19/5/23,FAIRPRICE XTRA,$7.17 ,Groceries
20/5/23,KURIYA FRESH FISH MARKET,$19.20 ,Food
20/5/23,FAIRPRICE XTRA,$3.00 ,Groceries
20/5/23,DON DON DONKI,$33.64 ,Groceries
20/5/23,BUS/MRT,$4.74 ,Transport
25/5/23,BUS/MRT,$15.08 ,Transport
25/5/23,FOOD PANDA,$17.74 ,Food
26/5/23,COTTON ON,$30.00 ,Shopping
27/5/23,Food Republic,$8.80 ,Food
27/5/23,Food Republic,$4.95 ,Food
27/5/23,Food Republic,$22.70 ,Food
27/5/23,Food Republic,$2.30 ,Food
27/5/23,7-ELEVEN,$2.40 ,Food
27/5/23,MCDONALD,$3.00 ,Food
27/5/23,GUARDIAN,$16.45 ,Shopping
28/5/23,SHENGSIONG,$47.47 ,Groceries
29/5/23,HAI DI LAO ,$154.40 ,Food
29/5/23,BUS/MRT,$7.53 ,Transport
2/6/23,TADA RIDE,$27.28 ,Transport
3/6/23,PHONE BILL,$30.28 ,Phone Bill
6/6/23,SPOTIFY,$13.11 ,Entertainment
6/6/23,TADA RIDE,$41.16 ,Transport
8/6/23,ASTONS STEAK SALAD,$24.00 ,Food
9/6/23,CHALLENGER,$109.00 ,Shopping
9/6/23,CHALLENGER,$56.00 ,Shopping
9/6/23,HOT TOMATO,$36.12 ,Food
10/6/23,GV,$17.00 ,Entertainment
13/6/23,SUPERGURL,$143.50 ,Shopping
13/6/23,BUS/MRT ,$17.41 ,Transport
15/6/23,BUS/MRT,$5.34 ,Transport
18/6/23,BUS/MRT,$11.59 ,Transport
18/6/23,COLD STORAGE,$10.90 ,Groceries
18/6/23,COLD STORAGE,$90.00 ,Groceries
20/6/23,TICKETMASTER,$127.00 ,Entertainment
22/6/23,STUFF'D,$17.20 ,Food
23/6/23,JINJJA CHICKEN DINER,$21.80 ,Food
23/6/23,BUS/MRT,$15.50 ,Transport
25/6/23,VENUS BEAUTY,$2.50 ,Shopping
27/6/23,RITZ CARLTON COLONY,$185.80 ,Food
27/6/23,ZARA,$35.90 ,Shopping
28/6/23,FAIRPRICE XTRA,$7.08 ,Groceries
28/6/23,BUS/MRT,$18.33 ,Transport
30/6/23,Polar Puffs,$3.96 ,Food
30/6/23,7-ELEVEN,$2.30 ,Food
1/7/23,COLD STORAGE,$1.91 ,Groceries
1/7/23,KOPITIAM,$5.40 ,Food
1/7/23,CAFÉ BRERA,$3.78 ,Food
1/7/23,WATSONS,$14.50 ,Shopping
3/7/23,JASONS MARKET PLACE,$0.80 ,Groceries
3/7/23,PHONE BILL,$30.28 ,Phone Bill
3/7/23,DAISO,$2.16 ,Shopping
3/7/23,ZARA,$29.80 ,Shopping
3/7/23,BUS/MRT,$17.50 ,Transport
5/7/23,COLD STORAGE,$8.80 ,Groceries
5/7/23,FAIRPRICE FINEST,$9.33 ,Groceries
6/7/23,SPOTIFY,$13.11 ,Entertainment
6/7/23,PULL&BEAR,$89.70 ,Shopping
7/7/23,SEPHORA,$102.00 ,Shopping
7/7/23,TORI Q,$8.40 ,Food
7/7/23,BUS/MRT,$12.71 ,Transport
7/7/23,TICKETMASTER,$99.00 ,Entertainment
8/7/23,FAIRPRICE XTRA,$0.35 ,Groceries
12/7/23,BUS/MRT,$5.74 ,Transport
16/7/23,SHENGSIONG,$27.14 ,Groceries
16/7/23,DECATHLON,$5.40 ,Shopping
18/7/23,GIANT,$0.35 ,Groceries
18/7/23,BUS/MRT,$15.33 ,Transport
21/7/23,KOREAN TOFU HOUSE,$21.05 ,Food
22/7/23,GONG YUAN MALA,$15.40 ,Food
22/7/23,FAIRPRICE XTRA,$0.35 ,Food
22/7/23,BUS/MRT,$16.59 ,Transport
23/7/23,Subway,$7.30 ,Food
23/7/23,7-ELEVEN,$2.30 ,Food
27/7/23,BUS/MRT,$12.88 ,Transport
29/7/23,SCOOP WHOLEFOODS,$3.50 ,Groceries
31/7/23,KSISTERS,$61.00 ,Shopping